Date,UserID,CourseID,Event
2022-01-10 10:12:35,440,247,view_course
2022-01-10 10:22:28,1186,338,view_course
2022-01-10 10:23:13,1186,338,detailed_description
2022-01-10 10:42:18,703,238,view_course
2022-01-10 10:51:02,225,350,view_course
2022-01-10 10:54:16,1334,264,view_course
2022-01-10 10:59:20,777,139,view_course
2022-01-10 10:59:42,777,139,teacher_profile
2022-01-10 11:02:08,651,9,view_course
2022-01-10 11:09:34,1467,20,view_course
2022-01-10 11:10:45,1467,20,rundown
2022-01-10 11:18:52,1077,8,view_course
2022-01-10 11:19:05,1077,8,detailed_description
2022-01-10 11:30:47,1215,288,view_course
2022-01-10 12:02:19,1225,373,view_course
2022-01-10 12:02:50,1225,373,rundown
2022-01-10 12:05:06,1401,298,view_course
2022-01-10 12:05:48,1401,298,detailed_description
2022-01-10 12:05:58,1401,298,teacher_profile
2022-01-10 12:07:27,1401,298,institution
2022-01-10 12:12:52,758,180,view_course
2022-01-10 12:14:16,758,180,institution
2022-01-10 12:18:01,988,224,view_course
2022-01-10 12:18:27,988,224,rundown
2022-01-10 12:22:19,1493,150,view_course
2022-01-10 12:24:23,1493,150,detailed_description
2022-01-10 12:27:52,1149,30,view_course
2022-01-10 12:29:32,1149,30,rundown
2022-01-10 12:29:42,1149,30,institution
2022-01-10 12:40:46,195,3,view_course
2022-01-10 12:45:04,1598,284,view_course
2022-01-10 12:45:18,1598,284,teacher_profile
2022-01-10 12:46:34,1598,284,institution
2022-01-10 12:50:34,833,235,view_course
2022-01-10 12:52:04,833,235,detailed_description
2022-01-10 13:02:37,1555,261,view_course
2022-01-10 13:12:04,1528,117,view_course
2022-01-10 13:14:50,1528,117,teacher_profile
2022-01-10 13:16:35,1155,177,view_course
2022-01-10 13:18:29,1155,177,institution
2022-01-10 13:25:34,200,48,view_course
2022-01-10 13:27:14,200,48,detailed_description
2022-01-10 13:27:51,352,90,view_course
2022-01-10 13:29:20,245,284,view_course
2022-01-10 13:30:21,352,90,rundown
